h_i_dict,loss,filter_mask
"{'N': 10000000, 'B': 48, 'K': 40000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",2.919383764266968,True
"{'N': 10000000, 'B': 12288, 'K': 39, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",5.4544453620910645,False
"{'N': 10000000, 'B': 6144, 'K': 78, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",4.838035106658936,False
"{'N': 10000000, 'B': 3072, 'K': 156, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",4.439056873321533,False
"{'N': 10000000, 'B': 1536, 'K': 313, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.9669268131256095,False
"{'N': 10000000, 'B': 768, 'K': 625, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.574624538421631,False
"{'N': 10000000, 'B': 384, 'K': 1250, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.380913496017456,False
"{'N': 10000000, 'B': 192, 'K': 2500, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.2490904331207275,False
"{'N': 10000000, 'B': 96, 'K': 5000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.183351516723633,False
"{'N': 10000000, 'B': 48, 'K': 10000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 3680000}",3.153156280517578,True
