N,B,K,C,D,nqs_loss,nn_loss,actual_N,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
10000000,768,2500,15000000,245760000,3.1657370339333823,3.268303155899048,10699888.0,isotoken,3.270826784148034,train,3.138503905110896e-05,2.9787967021332883e-07
10000000,1536,1250,15000000,245760000,3.342669361588534,3.310518741607666,10699888.0,isotoken,3.270826784148034,train,9.164801218076002e-06,1.156210448896039e-05
10000000,3072,625,15000000,245760000,3.647865602762909,3.418704032897949,10699888.0,isotoken,3.270826784148034,train,6.438068867521468e-05,4.3718749370601884e-05
10000000,6144,313,15000000,246153216,4.105208525494972,3.628231287002564,10699888.0,isotoken,3.270549559277962,train,0.00012301125876946535,0.00010328724904310777
10000000,12288,156,15000000,245366784,4.7627901104521335,4.48641300201416,10699888.0,isotoken,3.271104655308031,train,5.928015766899381e-05,0.00031542575356764344
10000000,24576,78,15000000,245366784,5.677108214307663,5.410362243652344,10699888.0,isotoken,3.271104655308031,train,4.762593711149993e-05,0.0005026883058366351
10000000,48,10000,3700000,61440000,3.7556321236568753,3.650533437728882,10699888.0,isotoken,3.606051247774547,train,2.78833086619929e-05,1.1759967752177968e-05
10000000,96,5000,3700000,61440000,3.515254314624205,3.625424385070801,10699888.0,isotoken,3.606051247774547,train,3.0359479308102734e-05,4.8580167112214916e-06
10000000,192,2500,3700000,61440000,3.416309447987624,3.6132149696350098,10699888.0,isotoken,3.606051247774547,train,5.5537089683880656e-05,1.4846128390423879e-06
10000000,384,1250,3700000,61440000,3.4863378228164947,3.6242733001708975,10699888.0,isotoken,3.606051247774547,train,3.8301948450708946e-05,4.540462804961399e-06
10000000,768,625,3700000,61440000,3.724784178651179,3.702251672744751,10699888.0,isotoken,3.606051247774547,train,5.567716782088172e-06,2.5827858267070958e-05
10000000,1536,313,3700000,61538304,4.144187589481314,3.914700984954834,10699888.0,isotoken,3.6055300726939374,train,5.646782190629679e-05,8.177015163518626e-05
10000000,3072,156,3700000,61341696,4.781612407944457,4.606993198394775,10699888.0,isotoken,3.6065736378623225,train,3.6702403870724375e-05,0.0002443172187406046
10000000,6144,78,3700000,61341696,5.68586256578919,5.5066094398498535,10699888.0,isotoken,3.6065736378623225,train,3.153375521353591e-05,0.00042269089624274645
10000000,12288,39,3700000,61341696,6.945764514261731,6.151413440704346,10699888.0,isotoken,3.6065736378623225,train,0.0001209501682261231,0.000533423692319984
10000000,24,5000,920000,15360000,4.681686742904507,4.214401721954346,10699888.0,isotoken,4.236263958515255,train,0.00010465081899115519,4.674097795577425e-06
10000000,48,2500,920000,15360000,4.224807638119477,4.149808406829834,10699888.0,isotoken,4.236263958515255,train,1.7411564185542516e-05,2.0119572802653696e-05
10000000,96,1250,920000,15360000,3.9851094688946898,4.137556076049805,10699888.0,isotoken,4.236263958515255,train,3.704051163321881e-05,2.3076445215416353e-05
10000000,192,625,920000,15360000,4.009436749970086,4.170511722564697,10699888.0,isotoken,4.236263958515255,train,3.888797342637845e-05,1.5142995425431571e-05
10000000,384,313,920000,15384576,4.294507285213635,4.277551651000977,10699888.0,isotoken,4.235284163792733,train,3.4560288728826e-06,9.430377013898095e-06
10000000,768,156,920000,15335424,4.855763218946982,4.793241024017334,10699888.0,isotoken,4.23724603741761,train,1.2459486470139225e-05,0.00012279326684710718
10000000,1536,78,920000,15335424,5.720675025611684,5.627369403839111,10699888.0,isotoken,4.23724603741761,train,1.5944723151150197e-05,0.0002832285480105958
10000000,3072,39,920000,15335424,6.9616312255738215,6.396085739135742,10699888.0,isotoken,4.23724603741761,train,8.422761837609433e-05,0.0004112726612622896
