N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
10000000,24576,1250,240000000,10171392.0,3932160000,3.3195973365038016,3.078185796737671,isotoken,2.738032094369594,test,7.500309497958874e-05,0.00011660094778047342
10000000,49152,625,240000000,10171392.0,3932160000,3.62637322865856,3.419505834579468,isotoken,2.738032094369594,test,5.8236990449326676e-05,0.00022175659919418918
10000000,98304,312,240000000,10171392.0,3925868544,4.018125722619221,3.861030340194702,isotoken,2.7381143023144907,test,3.938148038419337e-05,0.00034316460272944456
10000000,196608,156,240000000,10171392.0,3925868544,4.500489299650561,4.370802879333496,isotoken,2.7381143023144907,test,2.87394066409003e-05,0.00046717724483995624
10000000,48,160000,59000000,10171392.0,983040000,2.8480390619427984,2.7705628871917725,isotoken,2.8340266239676604,train,2.708020109777104e-05,2.2148027780658886e-05
10000000,96,80000,59000000,10171392.0,983040000,2.814801607452432,2.7687368392944336,isotoken,2.8340266239676604,train,1.6000580683950884e-05,2.2807334210586727e-05
10000000,192,40000,59000000,10171392.0,983040000,2.800718239750302,2.775090217590332,isotoken,2.8340266239676604,train,8.692640970258514e-06,2.0515278195067656e-05
10000000,384,20000,59000000,10171392.0,983040000,2.806512774946833,2.78394103050232,isotoken,2.8340266239676604,train,7.575146628427676e-06,1.7330975032964603e-05
10000000,768,10000,59000000,10171392.0,983040000,2.8437999395476155,2.797574281692505,isotoken,2.8340266239676604,train,1.588845098728092e-05,1.2445821973114224e-05
10000000,1536,5000,59000000,10171392.0,983040000,2.9360825142209555,2.841461181640625,isotoken,2.8340266239676604,train,3.225779421528369e-05,2.1198847323952725e-06
10000000,3072,2500,59000000,10171392.0,983040000,3.0926390745507426,2.929311037063598,isotoken,2.8340266239676604,train,5.3757541388695654e-05,3.256871873672401e-05
10000000,6144,1250,59000000,10171392.0,983040000,3.3209440135833592,3.096064567565918,isotoken,2.8340266239676604,train,6.961727328483674e-05,8.793327495860276e-05
10000000,12288,625,59000000,10171392.0,983040000,3.627247146965104,3.433868408203125,isotoken,2.8340266239676604,train,5.4286557383401656e-05,0.00019148890576568207
10000000,24576,313,59000000,10171392.0,984612864,4.0167058881920665,3.847842216491699,isotoken,2.8338813110904746,train,4.244960798345216e-05,0.00030536526789022784
10000000,49152,156,59000000,10171392.0,981467136,4.500864080322856,4.409134864807129,isotoken,2.83417226563212,train,2.0090901759657054e-05,0.0004414285696795028
10000000,98304,78,59000000,10171392.0,981467136,5.081997786403081,4.8686137199401855,isotoken,2.83417226563212,train,4.239520984643325e-05,0.0005405593147219358
10000000,48,40000,15000000,10171392.0,245760000,2.8543144211542018,2.919383764266968,isotoken,3.004092948910961,train,2.2040872797643054e-05,2.8103120764310707e-05
10000000,96,20000,15000000,10171392.0,245760000,2.836868131859441,2.927408695220948,isotoken,3.004092948910961,train,3.091695414891688e-05,2.535804778665457e-05
