N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,nqs_loss,actual_N,NN_loss,D
10000000,384,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,3.3647382137189386,10171392.0,3.380913496017456,61440000
10000000,768,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,3.6646494481987526,10171392.0,3.574624538421631,61440000
10000000,1536,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,4.042042943824154,10171392.0,3.9669268131256095,61538304
10000000,3072,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,4.505910537856925,10171392.0,4.439056873321533,61341696
10000000,6144,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,5.056257789070478,10171392.0,4.838035106658936,61341696
10000000,12288,39,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3700000,5.701313530379792,10171392.0,5.4544453620910645,61341696
10000000,24,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,3.064330191005909,10171392.0,3.5472400188446045,15360000
10000000,48,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,3.1941552110961853,10171392.0,3.5741004943847656,15360000
10000000,96,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,3.4031237221437234,10171392.0,3.652743577957153,15360000
10000000,192,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,3.6900268552359288,10171392.0,3.828984260559082,15360000
10000000,384,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,4.059517618729657,10171392.0,4.116951942443848,15384576
10000000,768,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,4.517977382731988,10171392.0,4.496960163116455,15335424
10000000,1536,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,5.0643313278245365,10171392.0,4.911468982696533,15335424
10000000,3072,39,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,5.70656539824889,10171392.0,5.477995872497559,15335424
