actual_N,N,B,K,NN_loss,type
63790848.0,64000000,96,51200,2.551641702651977,isotokens
63790848.0,64000000,192,25600,2.5418701171875,isotokens
63790848.0,64000000,384,12800,2.543448209762573,isotokens
63790848.0,64000000,768,6400,2.5635502338409424,isotokens
63790848.0,64000000,1536,3200,2.6087183952331543,isotokens
63790848.0,64000000,3072,1600,2.7212584018707275,isotokens
121123072.0,128000000,24,102400,3.3567328453063965,isotokens
121123072.0,128000000,48,51200,2.7338509559631348,isotokens
121123072.0,128000000,96,25600,2.624451160430908,isotokens
121123072.0,128000000,192,12800,2.593287706375122,isotokens
121123072.0,128000000,384,6400,2.600717782974243,isotokens
121123072.0,128000000,768,3200,2.643631935119629,isotokens
121123072.0,128000000,1536,1600,2.728762626647949,isotokens
252798416.0,256000000,24,51200,3.483883857727051,isotokens
252798416.0,256000000,48,25600,3.2656121253967285,isotokens
252798416.0,256000000,96,12800,2.905355453491211,isotokens
252798416.0,256000000,192,6400,2.747541904449463,isotokens
252798416.0,256000000,384,3200,2.7557592391967773,isotokens
252798416.0,256000000,768,1600,2.840871572494507,isotokens
519186432.0,512000000,24,25600,3.700432300567627,isotokens
519186432.0,512000000,48,12800,3.4795186519622803,isotokens
519186432.0,512000000,96,6400,3.1998720169067383,isotokens
519186432.0,512000000,192,3200,3.1380257606506348,isotokens
519186432.0,512000000,384,1600,3.130809783935547,isotokens
